ID,Label,Type,Graph Source
72,Max Bauer,Subject,Graph A
73,Michael Bauer,Subject,Graph A
74,Michael Bauer,Subject,Graph A
75,Michael Bauer,Subject,Graph A
76,Rose Bauer,Subject,Graph A
77,Rose Bauer,Subject,Graph A
78,Walter Bauer,Subject,Graph A
79,Walter Bauer,Subject,Graph A
80,Walter Bauer,Subject,Graph A
81,Colonel Baumann,Subject,Graph A
82,Colonel Baumann,Subject,Graph A
83,Wolfgang La Baume,Subject,Graph A
84,Wolfgang La Baume,Subject,Graph A
85,Paul Baumgarten,Subject,Graph A
86,Paul Baumgarten,Subject,Graph A
87,Paul Baumgarten,Subject,Graph A
88,Karlsruhe Baumhoff,Subject,Graph A
89,Captain Becker,Subject,Graph A
90,Captain Becker,Subject,Graph A
91,Joseph Becker,Subject,Graph A
92,Joseph Becker,Subject,Graph A
93,Joseph Becker,Subject,Graph A
94,Joseph Becker,Subject,Graph A
95,Joseph Becker,Subject,Graph A
96,Baron Kurt von Behr,Subject,Graph A
97,Baron Kurt von Behr,Subject,Graph A
98,Ewald Behrens,Subject,Graph A
99,Ewald Behrens,Subject,Graph A
100,Ewald Behrens,Subject,Graph A
101,Benatsky,Subject,Graph A
102,Erik Berger,Subject,Graph A
103,Erik Berger,Subject,Graph A
104,Erik Berger,Subject,Graph A
105,Erik Berger,Subject,Graph A
106,Erik Berger,Subject,Graph A
107,Erik Berger,Subject,Graph A
108,Berndt,Subject,Graph A
109,Berndt,Subject,Graph A
110,Helmuth Beyer,Subject,Graph A
111,Helmuth Beyer,Subject,Graph A
112,Helmuth Beyer,Subject,Graph A
113,Helmuth Beyer,Subject,Graph A
114,Lars Bierbach,Subject,Graph A
115,Lars Bierbach,Subject,Graph A
116,Lars Bierbach,Subject,Graph A
117,Lars Bierbach,Subject,Graph A
118,Lars Bierbach,Subject,Graph A
119,Moritz Julius Binder,Subject,Graph A
120,Moritz Julius Binder,Subject,Graph A
121,Count Eddy von Bismarck,Subject,Graph A
122,Count Eddy von Bismarck,Subject,Graph A
123,Count Eddy von Bismarck,Subject,Graph A
124,Count Eddy von Bismarck,Subject,Graph A
125,Wili Bleye,Subject,Graph A
126,Wili Bleye,Subject,Graph A
127,Wili Bleye,Subject,Graph A
128,Wili Bleye,Subject,Graph A
129,Bobrowski,Subject,Graph A
130,Bobrowski,Subject,Graph A
131,Karl Bodenschatz,Subject,Graph A
132,Karl Bodenschatz,Subject,Graph A
133,Karl Bodenschatz,Subject,Graph A
134,von Boeck,Subject,Graph A
135,von Boeck,Subject,Graph A
136,Alfred Boedecker,Subject,Graph A
137,Alfred Boedecker,Subject,Graph A
138,Alfred Boedecker,Subject,Graph A
139,Alfred Boedecker,Subject,Graph A
140,Julius Boehler jr,Subject,Graph A
141,Julius Boehler jr,Subject,Graph A
142,Julius Boehler jr,Subject,Graph A
143,Julius Boehler jr,Subject,Graph A
144,Franz Boehm,Subject,Graph A
145,Bernhard Boehmer,Subject,Graph A
146,Bernhard Boehmer,Subject,Graph A
147,Bernhard Boehmer,Subject,Graph A
148,Bernhard Boehmer,Subject,Graph A
149,Bernhard Boehmer,Subject,Graph A
150,Bernhard Boehmer,Subject,Graph A
151,Bernhard Boehmer,Subject,Graph A
152,Bernhard Boehmer,Subject,Graph A
153,Bernhard Boehmer,Subject,Graph A
154,Boehringer,Subject,Graph A
155,Boehringer,Subject,Graph A
156,Werner Boekenkampf,Subject,Graph A
157,Werner Boekenkampf,Subject,Graph A
158,Werner Boekenkampf,Subject,Graph A
159,Werner Boekenkampf,Subject,Graph A
160,Enst Boepple,Subject,Graph A
161,Enst Boepple,Subject,Graph A
162,Boettger,Subject,Graph A
163,Boettger,Subject,Graph A
164,Boettger,Subject,Graph A
165,Michael Bogner,Subject,Graph A
166,Walter Borchers,Subject,Graph A
167,Walter Borchers,Subject,Graph A
168,Walter Bornheim,Subject,Graph A
169,Walter Bornheim,Subject,Graph A
170,Walter Bornheim,Subject,Graph A
171,Brabender,Subject,Graph A
172,Brabender,Subject,Graph A
173,Brabender,Subject,Graph A
174,Ernst Bracht,Subject,Graph A
175,Ernst Bracht,Subject,Graph A
176,Frantz Brandle,Subject,Graph A
177,Brauchitsch,Subject,Graph A
178,Brauchitsch,Subject,Graph A
179,Brauchitsch,Subject,Graph A
180,Brauchitsch,Subject,Graph A
181,Brauchitsch,Subject,Graph A
182,Brauchitsch,Subject,Graph A
183,Wolff Braumueller,Subject,Graph A
184,Wolff Braumueller,Subject,Graph A
185,Wolff Braumueller,Subject,Graph A
186,Arno Breker,Subject,Graph A
187,Arno Breker,Subject,Graph A
188,Arno Breker,Subject,Graph A
189,Arno Breker,Subject,Graph A
190,Arno Breker,Subject,Graph A
191,Arno Breker,Subject,Graph A
192,Arno Breker,Subject,Graph A
193,Arno Breker,Subject,Graph A
194,Karl Brethauer,Subject,Graph A
195,Karl Brethauer,Subject,Graph A
196,Karl Brethauer,Subject,Graph A
197,Breuer,Subject,Graph A
198,Breuer,Subject,Graph A
199,Breuer,Subject,Graph A
200,Breuer,Subject,Graph A
201,Breuer,Subject,Graph A
202,Alphonse Bruemmer,Subject,Graph A
203,Leo Bruhns,Subject,Graph A
204,Leo Bruhns,Subject,Graph A
205,Leo Bruhns,Subject,Graph A
206,Leo Bruhns,Subject,Graph A
207,Brunner,Subject,Graph A
208,Eugen Bruschwiller,Subject,Graph A
209,Eugen Bruschwiller,Subject,Graph A
210,Eugen Bruschwiller,Subject,Graph A
211,Eugen Bruschwiller,Subject,Graph A
212,Eugen Bruschwiller,Subject,Graph A
213,Ernst Buchner,Subject,Graph A
214,Karl W Buemming,Subject,Graph A
215,Karl W Buemming,Subject,Graph A
216,Karl W Buemming,Subject,Graph A
217,Karl W Buemming,Subject,Graph A
218,Karl W Buemming,Subject,Graph A
219,Karl W Buemming,Subject,Graph A
220,Buerckel,Subject,Graph A
221,Buerckel,Subject,Graph A
222,Buerckel,Subject,Graph A
223,Hermann Bunjes,Subject,Graph A
224,Hermann Bunjes,Subject,Graph A
225,Hermann Bunjes,Subject,Graph A
226,Josef Busley,Subject,Graph A
227,Josef Busley,Subject,Graph A
228,Josef Busley,Subject,Graph A
229,Josef Busley,Subject,Graph A
230,Fritz Busse,Subject,Graph A
231,Fritz Busse,Subject,Graph A
232,Fritz Busse,Subject,Graph A
233, Busso,Subject,Graph A
234, Busso,Subject,Graph A
235,Choepelle,Subject,Graph A
236,Choepelle,Subject,Graph A
237, Karl Heinz Clasen,Subject,Graph A
238, Karl Heinz Clasen,Subject,Graph A
239, Karl Heinz Clasen,Subject,Graph A
240, Karl Heinz Clasen,Subject,Graph A
241, Karl Heinz Clasen,Subject,Graph A
242, Karl Heinz Clasen,Subject,Graph A
243,Cloos,Subject,Graph A
244, Wilhelm Coblitz,Subject,Graph A
245, Jan W Crous,Subject,Graph A
246, Jan W Crous,Subject,Graph A
247, Jan W Crous,Subject,Graph A
248,Ludwig Curtius,Subject,Graph A
249,Ludwig Curtius,Subject,Graph A
250,Dauncel,Subject,Graph A
251,Dauncel,Subject,Graph A
252,Dauncel,Subject,Graph A
253,Bernard Degenhart,Subject,Graph A
254,Bernard Degenhart,Subject,Graph A
255,Bernard Degenhart,Subject,Graph A
256,Bernard Degenhart,Subject,Graph A
257,Bernard Degenhart,Subject,Graph A
258,Friedrich Wilhelm Deichmann,Subject,Graph A
259,Demmler,Subject,Graph A
260,Theodor Demmler,Subject,Graph A
261,Theodor Demmler,Subject,Graph A
262,Theodor Demmler,Subject,Graph A
263,Werner R Deusch,Subject,Graph A
264,Werner R Deusch,Subject,Graph A
265,Werner R Deusch,Subject,Graph A
266,Werner R Deusch,Subject,Graph A
267,Werner R Deusch,Subject,Graph A
268,Carl Hermann Diesch,Subject,Graph A
269,Carl Hermann Diesch,Subject,Graph A
270,Carl Hermann Diesch,Subject,Graph A
271,Dietrich,Subject,Graph A
272,Dietrich,Subject,Graph A
273,Maria Almas Dietrich,Subject,Graph A
274,Maria Almas Dietrich,Subject,Graph A
275,Maria Almas Dietrich,Subject,Graph A
276,Maria Almas Dietrich,Subject,Graph A
277,Dillenberg,Subject,Graph A
278,Dillenberg,Subject,Graph A
279,Dillenberg,Subject,Graph A
280,Dillenberg,Subject,Graph A
281,F Doelger,Subject,Graph A
282,Dortheum,Subject,Graph A
283,Drees,Subject,Graph A
284,Wilhelm Drost,Subject,Graph A
285,Wilhelm Drost,Subject,Graph A
286,Fritz Dworschak,Subject,Graph A
287,Fritz Dworschak,Subject,Graph A
288,Fritz Dworschak,Subject,Graph A
289,Fritz Dworschak,Subject,Graph A
290,Fritz Dworschak,Subject,Graph A
291,Ebeling,Subject,Graph A
292,Ebert,Subject,Graph A
293,Mueller Eckert,Subject,Graph A
294,Helga Eggemann,Subject,Graph A
295,Hermann Eich,Subject,Graph A
296,August Eugruber,Subject,Graph A
297,August Eugruber,Subject,Graph A
298,August Eugruber,Subject,Graph A
299,Karl Epting,Subject,Graph A
300,Karl Epting,Subject,Graph A
301,Karl Epting,Subject,Graph A
302,Karl Epting,Subject,Graph A
303,Ernst,Subject,Graph A
304,Richard Ernst,Subject,Graph A
305,Richard Ernst,Subject,Graph A
306,Richard Ernst,Subject,Graph A
307,Richard Ernst,Subject,Graph A
308,W Esser,Subject,Graph A
309,Hans Gerhard Evers,Subject,Graph A
310,Hans Gerhard Evers,Subject,Graph A
311,Eugen Ewig,Subject,Graph A
312,Fabian,Subject,Graph A
313,Fabian,Subject,Graph A
314,Fabian,Subject,Graph A
315,Georg Fahrbach,Subject,Graph A
316,Georg Fahrbach,Subject,Graph A
317,Georg Fahrbach,Subject,Graph A
318,Georg Fahrbach,Subject,Graph A
319,Feiler,Subject,Graph A
320,Feldhusen,Subject,Graph A
321,Feldhusen,Subject,Graph A
322,Feldhusen,Subject,Graph A
323,Feldhusen,Subject,Graph A
324,Feldhusen,Subject,Graph A
325,Galerie Fellner,Subject,Graph A
326,Galerie Fellner,Subject,Graph A
327,Galerie Fellner,Subject,Graph A
328,Hans Fishboeck,Subject,Graph A
329,Hans Fishboeck,Subject,Graph A
330,Hans Fishboeck,Subject,Graph A
331,Fischer,Subject,Graph A
332,Walter Fresacher,Subject,Graph A
333,Frey,Subject,Graph A
334,Dagobert Frey,Subject,Graph A
335,Dagobert Frey,Subject,Graph A
336,Max J Friedlaender,Subject,Graph A
337,Max J Friedlaender,Subject,Graph A
338,Max J Friedlaender,Subject,Graph A
339,Max J Friedlaender,Subject,Graph A
340,Max J Friedlaender,Subject,Graph A
341,Max J Friedlaender,Subject,Graph A
342,Max J Friedlaender,Subject,Graph A
343,Max J Friedlaender,Subject,Graph A
344,Alfred Fritzsche,Subject,Graph A
345,Walter Frodl,Subject,Graph A
346,Walter Frodl,Subject,Graph A
347,Walter Frodl,Subject,Graph A
348,Siegfried Fuchs,Subject,Graph A
349,Siegfried Fuchs,Subject,Graph A
350,Siegfried Fuchs,Subject,Graph A
351,Hans Fuehrmann,Subject,Graph A
352,Geibel,Subject,Graph A
353,Geisenhofer,Subject,Graph A
354,Gense,Subject,Graph A
355,Heinrich Gerch,Subject,Graph A
356,Heinrich Gerch,Subject,Graph A
357,Heinrich Gerch,Subject,Graph A
358,Heinrich Gerch,Subject,Graph A
359,Heinrich Gerch,Subject,Graph A
360,Gerdemann,Subject,Graph A
361,Arnim von Gerkan,Subject,Graph A
362,Werner Gerlach,Subject,Graph A
363,Werner Gerlach,Subject,Graph A
364,Galerie Gerstenberger,Subject,Graph A
365,Galerie Gerstenberger,Subject,Graph A
366,Galerie Gerstenberger,Subject,Graph A
367,Josef Karl Gerum,Subject,Graph A
368,Josef Karl Gerum,Subject,Graph A
369,Guenther Gieraths,Subject,Graph A
370,Gallerie Giese,Subject,Graph A
371,Gallerie Giese,Subject,Graph A
372,Maria Gillhausen,Subject,Graph A
373,Maria Gillhausen,Subject,Graph A
374,Maria Gillhausen,Subject,Graph A
375,Maria Gillhausen,Subject,Graph A
376,Maria Gillhausen,Subject,Graph A
377,Maria Gillhausen,Subject,Graph A
378,Erhard Goepel,Subject,Graph A
379,Erhard Goepel,Subject,Graph A
380,Erhard Goepel,Subject,Graph A
381,Erhard Goepel,Subject,Graph A
382,Erhard Goepel,Subject,Graph A
383,Erhard Goepel,Subject,Graph A
384,Erhard Goepel,Subject,Graph A
385,Erhard Goepel,Subject,Graph A
386,Fritz Goernnert,Subject,Graph A
387,Fritz Goernnert,Subject,Graph A
388,Fritz Goernnert,Subject,Graph A
389,Fritz Goernnert,Subject,Graph A
390,Gottfriedsen,Subject,Graph A
391,Gottfriedsen,Subject,Graph A
392,Wilhelm Grau,Subject,Graph A
393,Wilhelm Grau,Subject,Graph A
394,Greiner,Subject,Graph A
395,Greiner,Subject,Graph A
396,Greinke,Subject,Graph A
397,Eric Gritzbach,Subject,Graph A
398,Eric Gritzbach,Subject,Graph A
399,R Grosse,Subject,Graph A
400,R Grosse,Subject,Graph A
401,R Grosse,Subject,Graph A
402,Grosshennig,Subject,Graph A
403,Grosshennig,Subject,Graph A
404,Grosshennig,Subject,Graph A
405,Grosshennig,Subject,Graph A
406,Grosshennig,Subject,Graph A
407,Grosshennig,Subject,Graph A
408,Grosshennig,Subject,Graph A
409,Grosshennig,Subject,Graph A
410,Grosshennig,Subject,Graph A
411,Grosshennig,Subject,Graph A
412,Grube,Subject,Graph A
413,Grube,Subject,Graph A
414,Grube,Subject,Graph A
415,Gruenberg,Subject,Graph A
416,Guenther Grundmann,Subject,Graph A
417,Guenther Grundmann,Subject,Graph A
418,Alfred Grunsky,Subject,Graph A
419,Alfred Grunsky,Subject,Graph A
420,Grusse,Subject,Graph A
421,Guetmann,Subject,Graph A
422,Hildebrandt Gurlitt,Subject,Graph A
423,Hildebrandt Gurlitt,Subject,Graph A
424,Hildebrandt Gurlitt,Subject,Graph A
425,Wolfgang Gurlitt,Subject,Graph A
426,Wolfgang Gurlitt,Subject,Graph A
427,Wolfgang Gurlitt,Subject,Graph A
428,Haas,Subject,Graph A
429,Haas,Subject,Graph A
430,Karl Haberstock,Subject,Graph A
431,Karl Haberstock,Subject,Graph A
432,Karl Haberstock,Subject,Graph A
433,Karl Haberstock,Subject,Graph A
434,Haendler,Subject,Graph A
435,Haendler,Subject,Graph A
436,Johann Gerhard Hagemeyer,Subject,Graph A
437,Johann Gerhard Hagemeyer,Subject,Graph A
438,Hagenow,Subject,Graph A
439,Hagenow,Subject,Graph A
440,Ham,Subject,Graph A
441,Ham,Subject,Graph A
442,Ham,Subject,Graph A
443,Richard Hamann MacLean,Subject,Graph A
444,Richard Hamann MacLean,Subject,Graph A
445,Hampe,Subject,Graph A
446,Hampe,Subject,Graph A
447,Karl Friedrich Hanesse,Subject,Graph A
448,Karl Friedrich Hanesse,Subject,Graph A
449,Karl Friedrich Hanesse,Subject,Graph A
450,Erika Hanfstaengl,Subject,Graph A
451,Erika Hanfstaengl,Subject,Graph A
452,Erika Hanfstaengl,Subject,Graph A
453,Erika Hanfstaengl,Subject,Graph A
454,Erika Hanfstaengl,Subject,Graph A
455,Hartman,Subject,Graph A
456,Werner Grote Hasembalg,Subject,Graph A
457,Werner Grote Hasembalg,Subject,Graph A
458,Werner Grote Hasembalg,Subject,Graph A
459,Edmund Hausen,Subject,Graph A
460,Edmund Hausen,Subject,Graph A
461,O Heck,Subject,Graph A
462,Heidelberg,Subject,Graph A
463,Heidelberg,Subject,Graph A
464,Heim,Subject,Graph A
465,Heim,Subject,Graph A
466,Heim,Subject,Graph A
467,Heim,Subject,Graph A
468,Karl Hein,Subject,Graph A
469,Ernst Heinecke,Subject,Graph A
470,Ernst Heinecke,Subject,Graph A
471,Ursula Heintze,Subject,Graph A
472,Ursula Heintze,Subject,Graph A
473,Heldrich,Subject,Graph A
474,Hendricks,Subject,Graph A
475,Herbert,Subject,Graph A
476,Hans Herbst,Subject,Graph A
477,Hans Herbst,Subject,Graph A
478,Hans Herbst,Subject,Graph A
479,Hans Herbst,Subject,Graph A
480,Kurt Hermann,Subject,Graph A
481,Kurt Hermann,Subject,Graph A
482,Prince Philipp von Hessen,Subject,Graph A
483,Ludwig Heinrich Heydenreich,Subject,Graph A
484,Ludwig Heinrich Heydenreich,Subject,Graph A
485,Ludwig Heinrich Heydenreich,Subject,Graph A
486,Ludwig Heinrich Heydenreich,Subject,Graph A
487,Hildebrandt,Subject,Graph A
488,Hildebrandt,Subject,Graph A
489,Hildebrandt,Subject,Graph A
490,Rudolf Himpsl,Subject,Graph A
491,Rudolf Himpsl,Subject,Graph A
492,Hans Hinkel,Subject,Graph A
493,Hans Hinkel,Subject,Graph A
494,Johannes Hinrichsen,Subject,Graph A
495,Johannes Hinrichsen,Subject,Graph A
496,Johannes Hinrichsen,Subject,Graph A
497,Johannes Hinrichsen,Subject,Graph A
498,Johannes Hinrichsen,Subject,Graph A
499,Alfredo Hirsch,Subject,Graph A
500,Alfredo Hirsch,Subject,Graph A
501,Alfredo Hirsch,Subject,Graph A
502,Baron Hirschberg,Subject,Graph A
503,Baron Hirschberg,Subject,Graph A
504,Baron Hirschberg,Subject,Graph A
505,Ilse Hirschberg,Subject,Graph A
506,Ilse Hirschberg,Subject,Graph A
507,Walter Hoeckner,Subject,Graph A
508,Walter Hoeckner,Subject,Graph A
509,Hoermann,Subject,Graph A
510,Hoermann,Subject,Graph A
511,Hoermann,Subject,Graph A
512,Hoermann,Subject,Graph A
513,Berta Hofer,Subject,Graph A
514,Berta Hofer,Subject,Graph A
515,Berta Hofer,Subject,Graph A
516,Walter Andreas Hofer,Subject,Graph A
517,Walter Andreas Hofer,Subject,Graph A
518,Erwin Hoff,Subject,Graph A
519,H W Hupp,Subject,Graph A
520,H W Hupp,Subject,Graph A
521,Hermann von Ingram,Subject,Graph A
522,Hermann von Ingram,Subject,Graph A
523,Hermann von Ingram,Subject,Graph A
524,Heinrich Jerchel,Subject,Graph A
525,Jessel,Subject,Graph A
526,Jessel,Subject,Graph A
527,Kahlert,Subject,Graph A
528,Kalbhen,Subject,Graph A
529,Kalnein,Subject,Graph A
530,Kalnein,Subject,Graph A
531,Hans Karlinger,Subject,Graph A
532,Kattengel,Subject,Graph A
533,Kattengel,Subject,Graph A
534,Kattengel,Subject,Graph A
535,Keller,Subject,Graph A
536,Keutmann,Subject,Graph A
537,Franz Kieslinger,Subject,Graph A
538,Franz Kieslinger,Subject,Graph A
539,Kirsten,Subject,Graph A
540,Kirsten,Subject,Graph A
541,Kleinschmidt,Subject,Graph A
542,Kleinschmidt,Subject,Graph A
543,Klement,Subject,Graph A
544,Klement,Subject,Graph A
545,Otto Kletzel,Subject,Graph A
546,Otto Kletzel,Subject,Graph A
547,Otto Kletzel,Subject,Graph A
548,Otto Kletzel,Subject,Graph A
549,Otto Kletzel,Subject,Graph A
550,Hans Helmut Klihm,Subject,Graph A
551,Anneliese Knab,Subject,Graph A
552,Anneliese Knab,Subject,Graph A
553,Anneliese Knab,Subject,Graph A
554,Gustav Knauer,Subject,Graph A
555,Gustav Knauer,Subject,Graph A
556,Knothe,Subject,Graph A
557,Knothe,Subject,Graph A
558,Knothe,Subject,Graph A
559,Knothe,Subject,Graph A
560,Erich Koch,Subject,Graph A
561,Erich Koch,Subject,Graph A
562,Erich Koch,Subject,Graph A
563,Erich Koch,Subject,Graph A
564,Heinz Koehn,Subject,Graph A
565,Heinz Koehn,Subject,Graph A
566,Hans Koester,Subject,Graph A
567,Hans Koester,Subject,Graph A
568,Franz Koettgen,Subject,Graph A
569,Franz Koettgen,Subject,Graph A
570,Karol Konrad,Subject,Graph A
571,Karol Konrad,Subject,Graph A
572,Grundtmann Kornatsky,Subject,Graph A
573,Franz Koviak,Subject,Graph A
574,Franz Koviak,Subject,Graph A
575,Karlsruhe Kraft,Subject,Graph A
576,Georg Kraft,Subject,Graph A
577,Georg Kraft,Subject,Graph A
578,W Kraiker,Subject,Graph A
579,Kallert,Subject,Graph A
580,Kallert,Subject,Graph A
581,Eckhardt Richard Kramer,Subject,Graph A
582,Eckhardt Richard Kramer,Subject,Graph A
583,Karl Kraus,Subject,Graph A
584,Karl Kraus,Subject,Graph A
585,Karl Kress,Subject,Graph A
586,Karl Kress,Subject,Graph A
587,Kressin,Subject,Graph A
588,Kressin,Subject,Graph A
589,Kressin,Subject,Graph A
590,A Kreuter,Subject,Graph A
591,A Kreuter,Subject,Graph A
592,A Kreuter,Subject,Graph A
593,Lambrecht Kreuter,Subject,Graph A
594,Kribben,Subject,Graph A
595,Kribben,Subject,Graph A
596,Krochmann,Subject,Graph A
597,Krochmann,Subject,Graph A
598,Krochmann,Subject,Graph A
599,Wolfgang Kroenig,Subject,Graph A
600,Werner Kroske,Subject,Graph A
601,Werner Kroske,Subject,Graph A
602,Kruckenberg,Subject,Graph A
603,Oberst Krueger,Subject,Graph A
604,Oberst Krueger,Subject,Graph A
605,Oberst Krueger,Subject,Graph A
606,Wolfgang Kreuger,Subject,Graph A
607,Wolfgang Kreuger,Subject,Graph A
608,Wolfgang Kreuger,Subject,Graph A
609,Wolfgang Kreuger,Subject,Graph A
610,Wolfgang Kreuger,Subject,Graph A
611,Hugo Andreas Kruess,Subject,Graph A
612,Kudlich,Subject,Graph A
613,Otto Keummel,Subject,Graph A
614,Otto Keummel,Subject,Graph A
615,Felix Kuetgens,Subject,Graph A
616,Felix Kuetgens,Subject,Graph A
617,Felix Kuetgens,Subject,Graph A
618,Felix Kuetgens,Subject,Graph A
619,Felix Kuetgens,Subject,Graph A
620,Kuhne,Subject,Graph A
621,Kuhne,Subject,Graph A
622,Kuhne,Subject,Graph A
623,Kulig,Subject,Graph A
624,Freiherr Johann von Kunsberg,Subject,Graph A
625,Freiherr Johann von Kunsberg,Subject,Graph A
626,Freiherr Johann von Kunsberg,Subject,Graph A
627,Friedrich Franz Kuntze,Subject,Graph A
628,Emil Kunze,Subject,Graph A
629,Herbert Kunze,Subject,Graph A
630,Herbert Kunze,Subject,Graph A
631,Kupper,Subject,Graph A
632,Kupper,Subject,Graph A
633,Kuttlich,Subject,Graph A
634,Kuttlich,Subject,Graph A
635,Kuttlich,Subject,Graph A
636,Kuttlich,Subject,Graph A
637,Hans Heinrich Lammers,Subject,Graph A
638,Hans Heinrich Lammers,Subject,Graph A
639,Gottfried Lang,Subject,Graph A
640,Gottfried Lang,Subject,Graph A
641,Ludwig Lang,Subject,Graph A
642,Hans W Lange,Subject,Graph A
643,Hans W Lange,Subject,Graph A
644,Hans W Lange,Subject,Graph A
645,Hans W Lange,Subject,Graph A
646,Langeloh,Subject,Graph A
647,Langeloh,Subject,Graph A
648,Langeloh,Subject,Graph A
649,Alexander Dietrich Langsdorff,Subject,Graph A
650,Alexander Dietrich Langsdorff,Subject,Graph A
651,Georg Leibbrandt,Subject,Graph A
652,Georg Leibbrandt,Subject,Graph A
653,Georg Leibbrandt,Subject,Graph A
654,Georg Leibbrandt,Subject,Graph A
655,M Leiner,Subject,Graph A
656,M Leiner,Subject,Graph A
657,M Leiner,Subject,Graph A
658,Lampertz,Subject,Graph A
659,Lampertz,Subject,Graph A
660,Lengerke,Subject,Graph A
661,Lengerke,Subject,Graph A
662,Lengerke,Subject,Graph A
663,Burkhard von Lepel,Subject,Graph A
664,Burkhard von Lepel,Subject,Graph A
665,Heinrich Leporini,Subject,Graph A
666,Heinrich Leporini,Subject,Graph A
667,Gisela Limberger,Subject,Graph A
668,Paul Lindpainter,Subject,Graph A
669,Paul Lindpainter,Subject,Graph A
670,Paul Lindpainter,Subject,Graph A
671,Paul Lindpainter,Subject,Graph A
672,Paul Lindpainter,Subject,Graph A
673,Ritter von Loehr,Subject,Graph A
674,Ritter von Loehr,Subject,Graph A
675,Ritter von Loehr,Subject,Graph A
676,Albert Loewenisch,Subject,Graph A
677,Albert Loewenisch,Subject,Graph A
678,Albert Loewenisch,Subject,Graph A
679,Albert Loewenisch,Subject,Graph A
680,Albert Loewenisch,Subject,Graph A
681,Albert Loewenisch,Subject,Graph A
682,Albert Loewenisch,Subject,Graph A
683,Albert Loewenisch,Subject,Graph A
684,Fritz Loffler,Subject,Graph A
685,Fritz Loffler,Subject,Graph A
686,Paul Lohmann,Subject,Graph A
687,Paul Lohmann,Subject,Graph A
688,Bruno Lohse,Subject,Graph A
689,Kurt Martin,Subject,Graph A
690,Kurt Martin,Subject,Graph A
691,Kurt Martin,Subject,Graph A
692,Kurt Martin,Subject,Graph A
693,Kurt Martin,Subject,Graph A
694,Galerie Matthiesen,Subject,Graph A
695,Galerie Matthiesen,Subject,Graph A
696,Galerie Matthiesen,Subject,Graph A
697,Werner Matz,Subject,Graph A
698,Werner Matz,Subject,Graph A
699,Wismer May,Subject,Graph A
700,Wismer May,Subject,Graph A
701,Wismer May,Subject,Graph A
